frame_index,sample_time_s,mission_elapsed_time_s,met_raw_text,met_parse_status,met_raw_unit,met_raw_value,met_si_value,met_variant,stage1_velocity_raw_text,stage1_velocity_parse_status,stage1_velocity_raw_unit,stage1_velocity_raw_value,stage1_velocity_si_value,stage1_velocity_variant,stage1_altitude_raw_text,stage1_altitude_parse_status,stage1_altitude_raw_unit,stage1_altitude_raw_value,stage1_altitude_si_value,stage1_altitude_variant,stage2_velocity_raw_text,stage2_velocity_parse_status,stage2_velocity_raw_unit,stage2_velocity_raw_value,stage2_velocity_si_value,stage2_velocity_variant,stage2_altitude_raw_text,stage2_altitude_parse_status,stage2_altitude_raw_unit,stage2_altitude_raw_value,stage2_altitude_si_value,stage2_altitude_variant
1918,31.998858751261466,27.0,T+00:00:27,parsed,s,27.0,27.0,raw,"000,108 NEW GLENN MPH VELOCITY",parsed,MPH,108.0,48.28032,raw,"001,872 NEW GLENN ALTITUDE",parsed,FT,1872.0,570.5856,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
2038,34.00087285457292,28.0,T+00:00:28,parsed,s,28.0,28.0,raw,"000,113 NEW GLENN MPH VELOCITY",parsed,MPH,113.0,50.51552,raw,"001,983 NEW GLENN FT ALTITUDE",parsed,FT,1983.0,604.4184,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
2158,36.00288695788438,29.0,T+00:00:29,parsed,s,29.0,29.0,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2278,38.00490106119583,29.0,T+00:00:29,parsed,s,29.0,29.0,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUOE",parsed,MI,0.0,0.0,raw
2398,40.00691516450729,34.59458567037187,T+00:00:29,missing,,,34.59458567037187,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2517,41.99224581695782,36.5799163228224,T+00:00:29,missing,,,36.5799163228224,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 MPH VELOCITY",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2637,43.99425992026928,38.58193042613386,T+00:00:29,missing,,,38.58193042613386,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 VELDCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2757,45.99627402358073,40.58394452944531,T+00:00:29,missing,,,40.58394452944531,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"STAGE2 000,000 VELDCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2877,47.99828812689219,42.58595863275677,T+00:00:29,missing,,,42.58595863275677,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"000,000 STAGE2 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
2997,50.00030223020365,44.58797273606823,T+00:00:29,missing,,,44.58797273606823,raw,"000,123 NEW GLENN MPH VELOCITY",parsed,MPH,123.0,54.98592,raw,"002,258 NEW GLENN ALTITUDE FT",parsed,FT,2258.0,688.2384000000001,raw,"000,000 STAGE2 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
